"","WRIA.Number","mean_Overall.Score","SD_overallscore","SE_overallscore","len","RKT_trend","Avg_RKTSlope_Overall.Score","Avg_RKTtau_Overall.Score","Avg_RKTpval_Overall.Score","sites","min","max","med"
"1",1,34.4947233037148,29.3348779610359,2.70049440700746,118,"none",-0.580472499077156,-0.234782608695652,0.0541686151911489,45,0,96.2855297157623,26.1258325647681
"2",7,65.6678626812266,23.5069110874115,0.961269079009609,598,"none",0.0651062410548349,0.0200445434298441,0.638799973794268,175,1.30555555555556,99.8966408268734,71.9982952993519
"3",8,41.1339979793745,25.7041148158538,0.474944613567206,2929,"positive",0.463813187453678,0.197006383447061,0,548,0,100,40.3850329197366
"4",9,47.522117876614,25.5509080494194,0.72706436636237,1235,"positive",0.321478451981908,0.142198815009875,1.26003185663137e-09,158,0,95.999354005168,51.7076126248133
"5",10,49.1654576363389,17.7700464214401,1.18466976142934,225,"positive",0.928049147035375,0.280672268907563,3.58239528219784e-06,51,10.9766687580785,96.4322385420917,48.5211615449934
"6",11,62.6607516635665,20.8767107384195,3.58032635406836,34,"none",-1.22879816961465,-0.219512195121951,0.364003255503179,14,15.9463241436926,90.3760612772241,67.6506803659857
"7",13,57.9257702006652,18.6389597868966,1.23984516221677,226,"none",-0.278072929262719,-0.101123595505618,0.0730284589920305,35,1.52777777777778,92.578855083445,59.0236189539055
"8",14,69.6654306229836,10.6657242743537,2.66643106858844,16,"none",0.666161313566633,0.164835164835165,0.443421402864083,3,45.0823624839573,85.8021921538913,67.609545123639
"9",15,57.0627234792793,19.4223166607734,0.710625405185074,747,"positive",0.416927625617955,0.142979819665092,4.46890502405761e-05,166,3.75,98.4205426356589,59.3247159737008
"10",17,62.7370856985525,16.6240427134749,3.39336850918719,24,"none",0.248250817564891,0,1,10,2.86111111111111,86.1627226982184,63.7237916382383
"11",18,58.439745920956,22.7784421103312,1.5832111699229,207,"positive",0.766235870113043,0.212121212121212,0.0266474903197973,82,2.53968253968254,99.1731266149871,62.656919887498
"12",19,67.5305812098958,13.9938444557136,1.88692960147482,55,"none",0.318358984874152,0.181818181818182,0.606905427217951,32,35.7238376378703,97.625588995288,69.6203558942957
"13",20,74.0895261409337,13.0316836677787,1.40524258940653,86,"none",0.558318389184112,0.132075471698113,0.41344744772765,35,24.3263145323409,97.2932816537468,75.8892623144729
"14",24,66.2087117978381,18.0886924247908,3.85652218290169,22,"none",-0.831381063237206,-0.142857142857143,0.511220344688192,8,20.9880952380952,93.2060043519652,69.0685687371644
"15",26,79.0919128581037,22.5237030933126,4.41726159966043,26,"none",-0.1388888888889,-0.163636363636364,0.533416513472694,13,16.9124458432904,98.9664082687339,87.4166958092906
"16",29,89.6841039353318,7.57995440260332,2.02582802727931,14,"none",0.331373634725214,0.164835164835165,0.443421402864083,1,71.9466107128286,98.3917448660411,93.0289186257938
"17",39,65.6538134727889,11.9844541919613,3.32388954596661,13,"none",0.416995146181679,0.0555555555555556,0.916965236628865,4,51.4966091699838,92.999723145072,62.6578195945861
"18",47,86.8426283498823,6.9335698887011,2.09054997986616,11,"none",0.237724539762128,0.0545454545454545,0.876269663627762,1,69.9906929315994,95.484865263935,86.5554415564675
